model_index,max_depth,criterion,min_samples_leaf,accuracy,precision_class_1,precision_class_2,precision_class_3,precision_class_4,average precision,recall_class_1,recall_class_2,recall_class_3,recall_class_4,average recall,f_measure_class_1,f_measure_class_2,f_measure_class_3,f_measure_class_4,average f_measure
1,4,gini,1,0.7958333333333333,0.92,0.7829457364341085,0.7213114754098361,0.0,0.6060643029609861,0.71875,0.8487394957983193,0.7857142857142857,0.0,0.5883009453781513,0.8070175438596492,0.814516129032258,0.7521367521367521,0,0.5934176062571648
2,4,gini,2,0.7958333333333333,0.92,0.7829457364341085,0.7213114754098361,0.0,0.6060643029609861,0.71875,0.8487394957983193,0.7857142857142857,0.0,0.5883009453781513,0.8070175438596492,0.814516129032258,0.7521367521367521,0,0.5934176062571648
3,4,gini,3,0.7958333333333333,0.92,0.7829457364341085,0.7213114754098361,0.0,0.6060643029609861,0.71875,0.8487394957983193,0.7857142857142857,0.0,0.5883009453781513,0.8070175438596492,0.814516129032258,0.7521367521367521,0,0.5934176062571648
4,4,gini,4,0.8,0.9056603773584906,0.7936507936507936,0.7213114754098361,0.0,0.6051556616047801,0.75,0.8403361344537815,0.7857142857142857,0.0,0.5940126050420168,0.8205128205128206,0.8163265306122449,0.7521367521367521,0,0.5972440258154544
5,4,gini,5,0.7958333333333333,0.92,0.7829457364341085,0.7213114754098361,0.0,0.6060643029609861,0.71875,0.8487394957983193,0.7857142857142857,0.0,0.5883009453781513,0.8070175438596492,0.814516129032258,0.7521367521367521,0,0.5934176062571648
6,4,gini,6,0.7958333333333333,0.92,0.7829457364341085,0.7213114754098361,0.0,0.6060643029609861,0.71875,0.8487394957983193,0.7857142857142857,0.0,0.5883009453781513,0.8070175438596492,0.814516129032258,0.7521367521367521,0,0.5934176062571648
7,4,gini,7,0.7958333333333333,0.92,0.7829457364341085,0.7213114754098361,0.0,0.6060643029609861,0.71875,0.8487394957983193,0.7857142857142857,0.0,0.5883009453781513,0.8070175438596492,0.814516129032258,0.7521367521367521,0,0.5934176062571648
8,4,gini,8,0.8,0.9056603773584906,0.7936507936507936,0.7213114754098361,0.0,0.6051556616047801,0.75,0.8403361344537815,0.7857142857142857,0.0,0.5940126050420168,0.8205128205128206,0.8163265306122449,0.7521367521367521,0,0.5972440258154544
9,4,gini,9,0.8,0.9056603773584906,0.7936507936507936,0.7213114754098361,0.0,0.6051556616047801,0.75,0.8403361344537815,0.7857142857142857,0.0,0.5940126050420168,0.8205128205128206,0.8163265306122449,0.7521367521367521,0,0.5972440258154544
10,4,gini,10,0.8,0.9056603773584906,0.7936507936507936,0.7213114754098361,0.0,0.6051556616047801,0.75,0.8403361344537815,0.7857142857142857,0.0,0.5940126050420168,0.8205128205128206,0.8163265306122449,0.7521367521367521,0,0.5972440258154544
11,4,gini,11,0.8,0.9056603773584906,0.7936507936507936,0.7213114754098361,0.0,0.6051556616047801,0.75,0.8403361344537815,0.7857142857142857,0.0,0.5940126050420168,0.8205128205128206,0.8163265306122449,0.7521367521367521,0,0.5972440258154544
12,4,gini,12,0.8,0.9056603773584906,0.7936507936507936,0.7213114754098361,0.0,0.6051556616047801,0.75,0.8403361344537815,0.7857142857142857,0.0,0.5940126050420168,0.8205128205128206,0.8163265306122449,0.7521367521367521,0,0.5972440258154544
13,4,gini,13,0.8,0.9056603773584906,0.7936507936507936,0.7213114754098361,0.0,0.6051556616047801,0.75,0.8403361344537815,0.7857142857142857,0.0,0.5940126050420168,0.8205128205128206,0.8163265306122449,0.7521367521367521,0,0.5972440258154544
14,4,gini,14,0.8,0.9056603773584906,0.7936507936507936,0.7213114754098361,0.0,0.6051556616047801,0.75,0.8403361344537815,0.7857142857142857,0.0,0.5940126050420168,0.8205128205128206,0.8163265306122449,0.7521367521367521,0,0.5972440258154544
15,4,gini,15,0.7791666666666667,0.9130434782608695,0.7593984962406015,0.7213114754098361,0.0,0.5984383624778268,0.65625,0.8487394957983193,0.7857142857142857,0.0,0.5726759453781513,0.7636363636363634,0.8015873015873015,0.7521367521367521,0,0.5793401043401043
16,4,gini,16,0.7791666666666667,0.9130434782608695,0.7593984962406015,0.7213114754098361,0.0,0.5984383624778268,0.65625,0.8487394957983193,0.7857142857142857,0.0,0.5726759453781513,0.7636363636363634,0.8015873015873015,0.7521367521367521,0,0.5793401043401043
