real numeric gravity,real class gravity,predicted numeric gravity,predicted class gravity
40.0,2.0,34.781239253967776,2
63.0573,3.0,61.25159080215396,3
13.2227,1.0,21.116961973147696,1
62.6163,3.0,59.287303766012336,3
35.2941,2.0,35.873988678833186,2
34.3538,2.0,33.91721100086141,2
13.2227,1.0,18.15544500581867,1
13.6701,1.0,21.21199032086349,1
36.2956,2.0,36.88250267493453,2
54.1979,3.0,51.967919831433605,3
40.0,2.0,37.155995343983506,2
72.8284,3.0,63.387059708554304,3
27.3685,2.0,34.02557868474902,2
54.9324,3.0,52.9737402941633,3
35.6877,2.0,37.118329942792876,2
13.3249,1.0,17.532403719008265,1
24.7148,1.0,25.56820217670359,2
14.072,1.0,25.309469378217095,2
56.9059,3.0,60.4628698427243,3
13.2559,1.0,17.86181066923414,1
40.0,2.0,35.66947765790455,2
38.0502,2.0,37.30633842975206,2
33.5624,2.0,36.83588904949408,2
45.9775,2.0,43.40347402412352,2
48.4188,2.0,47.60162361923314,2
47.9767,2.0,46.78582446036422,2
13.3468,1.0,20.223055932860223,1
31.5794,2.0,32.032482964249354,2
37.2025,2.0,37.30633842975206,2
23.9533,1.0,34.80381432246635,2
47.8279,2.0,46.13935967260271,2
38.9971,2.0,37.30633842975206,2
74.5726,3.0,63.6715847107438,3
46.6417,2.0,54.26793498396131,3
28.7157,2.0,30.81020043329727,2
38.7027,2.0,35.73795811751329,2
66.7618,3.0,58.230022695739386,3
47.8416,2.0,45.62989454204899,2
51.1471,3.0,47.618119382611404,2
51.259,3.0,45.37687954066495,2
27.113,2.0,36.06827416795724,2
13.2982,1.0,17.532403719008265,1
13.2227,1.0,23.136248816828484,1
68.0353,3.0,64.30941227996816,3
59.3028,3.0,58.55188194272008,3
48.961,2.0,46.057976024533986,2
40.0,2.0,48.106102322794214,2
36.8911,2.0,36.634769520871295,2
28.8856,2.0,29.116591546465468,2
20.1496,1.0,17.532403719008265,1
68.2956,3.0,66.07374007955598,3
38.7784,2.0,41.100749387853966,2
42.2114,2.0,41.365096669083826,2
42.4624,2.0,43.36285918038433,2
30.0878,2.0,29.085061377135855,2
35.4207,2.0,28.6572353477415,2
34.2019,2.0,34.54486514617556,2
35.3161,2.0,35.143710782476724,2
42.7855,2.0,44.32490946405094,2
60.7724,3.0,58.904292583678206,3
13.2864,1.0,17.532403719008265,1
52.3367,3.0,53.74026094547209,3
68.3086,3.0,63.77847029830509,3
40.0,2.0,37.30633842975206,2
68.2974,3.0,63.598730794278076,3
21.6055,1.0,24.745522272068577,1
38.416,2.0,37.30633842975206,2
41.167,2.0,45.27446330908891,2
51.3303,3.0,50.49440772125707,3
36.3585,2.0,32.10937428946401,2
28.7483,2.0,27.065256966250875,2
47.7176,2.0,48.52025180656724,2
47.8688,2.0,43.44175710501761,2
60.7862,3.0,61.387692040626085,3
47.8817,2.0,49.64378348189352,2
13.8156,1.0,35.57986565817159,2
13.2227,1.0,32.35928498564885,2
15.2491,1.0,21.612636618250882,1
40.0,2.0,37.84538286946963,2
51.5357,3.0,54.05134063765741,3
36.5921,2.0,40.80854324984256,2
35.607,2.0,38.863627867032285,2
38.3686,2.0,36.084913434207564,2
38.4527,2.0,36.18027161044664,2
39.2935,2.0,40.67446922050652,2
13.2227,1.0,23.577604389591116,1
13.2227,1.0,20.698500011161766,1
51.032,3.0,52.02430841559285,3
57.217,3.0,57.12928059152683,3
36.8234,2.0,32.29176879663512,2
47.4274,2.0,45.83787581570657,2
46.8408,2.0,43.59475488196611,2
68.3086,3.0,70.2020855403802,3
59.218,3.0,59.34396367549922,3
13.2227,1.0,19.635453350843893,1
49.5141,2.0,45.75410684111217,2
68.0861,3.0,61.2786446550722,3
26.4397,2.0,28.858947254542564,2
23.8345,1.0,24.6311315892365,1
36.158,2.0,32.5378557734563,2
43.5878,2.0,40.28331454733916,2
55.7369,3.0,53.028557499021524,3
44.984,2.0,44.35401455688226,2
34.2783,2.0,32.8973410134382,2
68.3312,3.0,67.98716567023125,3
53.6178,3.0,50.122216973423264,3
39.1979,2.0,39.53248054370332,2
38.4079,2.0,37.30633842975206,2
13.2414,1.0,17.532403719008265,1
24.8967,1.0,24.325557088980997,1
30.0786,2.0,34.55279129770692,2
30.8344,2.0,32.24164918375024,2
35.0344,2.0,38.920551947884775,2
52.4864,3.0,47.23959883357062,2
26.5743,2.0,31.69448140525582,2
23.753,1.0,23.895547813168115,1
41.425,2.0,40.28215745426249,2
47.119,2.0,43.19770456692638,2
13.2685,1.0,17.860045149276658,1
34.0252,2.0,37.000933176910785,2
41.779,2.0,50.095953845099125,3
49.8864,2.0,52.54297903333849,3
40.0,2.0,44.041576834583665,2
48.4951,2.0,50.90255303830355,3
39.8087,2.0,37.30633842975206,2
35.0397,2.0,35.174200964369234,2
47.7341,2.0,50.77804555109731,3
13.2227,1.0,17.53240371900826,1
51.6341,3.0,45.995350450277456,2
13.4699,1.0,17.532403719008265,1
46.3845,2.0,44.20618569665217,2
45.8932,2.0,43.619384216274796,2
50.8473,3.0,48.20425980339008,2
51.0634,3.0,46.724908418378284,2
13.3972,1.0,23.74912547675766,1
37.5087,2.0,36.06288709375014,2
38.1692,2.0,43.94500474392458,2
24.4162,1.0,24.92302213741741,1
37.0865,2.0,40.8872346249006,2
41.3308,2.0,40.92549634017691,2
13.6081,1.0,23.39446552219796,1
57.1018,3.0,58.99763061192257,3
24.3292,1.0,24.028003470022117,1
40.0,2.0,36.9001669617545,2
69.5615,3.0,65.04807057951648,3
23.903,1.0,23.819746061801037,1
40.0,2.0,37.497785819335654,2
40.4852,2.0,38.49429255003535,2
23.181,1.0,24.746189669088853,1
30.4973,2.0,29.566676749038642,2
30.7321,2.0,31.24977805060538,2
36.766,2.0,39.721014117419514,2
32.4392,2.0,33.67134283472529,2
33.052,2.0,37.562561044652504,2
30.4044,2.0,26.73803042087715,2
24.9185,1.0,26.790820104407608,2
37.043,2.0,45.011761122512986,2
38.8305,2.0,37.73859606978813,2
39.4929,2.0,36.72831426828117,2
44.2945,2.0,44.853075597911555,2
68.3023,3.0,66.71661844503521,3
49.8492,2.0,45.83874424234453,2
32.8339,2.0,38.49719601817866,2
23.983,1.0,27.4697010872122,2
67.7108,3.0,68.87850372864116,3
13.5061,1.0,20.93744525997173,1
35.5786,2.0,35.55833637554336,2
48.0059,2.0,55.13500168947623,3
26.49,2.0,29.607942328904493,2
40.0,2.0,35.6681398133634,2
35.5097,2.0,34.11311619713346,2
40.0,2.0,42.32036865929271,2
39.7413,2.0,37.30633842975206,2
50.2171,3.0,46.306174502700316,2
